Time(s) 	 Filtered Altitude MSL(m) 	 Filtered Altitude AGL(m) 	 Filtered Velocity(m/s) 	 Filtered Acceleration(m/s/s) 	 Altitude MSL(m)  	 Altitude AGL(m) 	 Velocity(m/s) 	 Acceleration (m/s/s) 	 Chute Arm 	 Chute Release15.36	7.94	-150.83	0.52	0.03	158.76	-0.01	10.34	0.67	0	0
41.98	158.94	0.17	-0.27	-0.83	158.27	-0.50	-2.33	-7.49	0	0
42.17	158.87	0.09	-0.39	-0.66	158.14	-0.63	-0.71	8.73	0	0
42.36	158.79	0.02	-0.41	-0.09	158.04	-0.73	-0.54	0.89	0	0
42.55	158.73	-0.04	-0.30	0.58	158.41	-0.36	2.00	13.67	0	0
42.73	158.70	-0.08	-0.20	0.55	158.32	-0.46	-0.53	-14.00	0	0
42.91	158.67	-0.11	-0.16	0.22	158.48	-0.29	0.93	8.12	0	0
43.09	158.63	-0.14	-0.17	-0.02	158.23	-0.54	-1.38	-12.43	0	0
43.28	158.62	-0.16	-0.10	0.33	158.65	-0.12	2.26	19.50	0	0
43.47	158.60	-0.17	-0.09	0.07	158.24	-0.54	-2.23	-24.16	0	0
43.65	158.58	-0.19	-0.11	-0.07	158.57	-0.20	1.79	21.58	0	0
43.84	158.57	-0.20	-0.05	0.29	158.40	-0.37	-0.89	-14.26	0	0
44.03	158.54	-0.23	-0.14	-0.49	158.21	-0.56	-1.00	-0.59	0	0
44.21	158.53	-0.24	-0.06	0.42	158.64	-0.14	2.27	17.58	0	0
44.40	158.54	-0.23	0.05	0.60	158.60	-0.17	-0.17	-13.08	0	0
44.58	158.55	-0.22	0.05	0.03	158.68	-0.10	0.39	2.99	0	0
44.77	158.59	-0.18	0.20	0.75	159.18	0.40	2.61	11.60	0	0
44.96	158.64	-0.13	0.28	0.47	159.07	0.30	-0.56	-16.82	0	0
45.15	158.68	-0.10	0.19	-0.51	158.92	0.14	-0.83	-1.49	0	0
45.33	158.70	-0.07	0.15	-0.23	158.98	0.21	0.37	6.46	0	0
45.52	158.74	-0.04	0.17	0.11	159.05	0.28	0.37	0.03	0	0
45.71	158.78	0.01	0.23	0.32	159.27	0.50	1.15	4.16	0	0
45.90	158.81	0.04	0.19	-0.18	159.01	0.24	-1.41	-13.75	0	0
46.08	158.83	0.05	0.07	-0.66	158.89	0.11	-0.65	4.04	0	0
46.27	158.84	0.07	0.06	-0.09	158.97	0.20	0.47	6.03	0	0
46.45	158.86	0.09	0.13	0.41	159.19	0.42	1.17	3.76	0	0
46.64	158.88	0.11	0.09	-0.23	158.87	0.09	-1.75	-15.69	0	0
46.83	158.88	0.11	-0.01	-0.51	158.87	0.10	0.04	9.62	0	0
47.01	158.89	0.12	0.07	0.40	159.14	0.37	1.44	7.52	0	0
