Cd,T1_Re3.000_M0.00_N9.0, , Cd,T1_Re3.000_M0.00_N9.0, , Cd,T1_Re3.000_M0.00_N9.0, , 
    0.1014483,      1.108725, ,    0.05981258,      1.501794, ,    0.06096642,      1.556488, , 
     0.108701,       1.09028, ,    0.06318009,      1.499965, ,    0.06387165,      1.558633, , 
    0.1164651,      1.070839, ,    0.06622026,      1.501051, ,    0.06694605,      1.560038, , 
    0.1250612,      1.049305, ,    0.07005864,      1.497377, ,    0.07023034,      1.560369, , 
    0.1328884,      1.030718, ,    0.07348983,      1.496854, ,    0.07376318,      1.559268, , 
    0.1423294,      1.007552, ,    0.07781866,      1.491104, ,     0.0776103,      1.556599, , 
    0.1506146,      0.988496, ,    0.08203555,      1.486586, ,    0.08176545,      1.552494, , 
    0.1612669,     0.9620539, ,    0.08654232,      1.480734, ,    0.08620592,      1.547011, , 
    0.1695988,     0.9434221, ,    0.09177837,      1.471529, ,    0.09091749,      1.540451, , 
    0.1817897,     0.9121189, ,    0.09713631,      1.462433, ,    0.09593241,      1.532774, , 
    0.2147695,     0.8078347, ,     0.1025765,      1.453615, ,      0.101449,      1.522726, , 
    0.2171613,     0.8147286, ,     0.1088929,      1.440781, ,     0.1072484,      1.511753, , 
    0.2195506,     0.8214672, ,      0.115612,      1.426349, ,     0.1133949,      1.499549, , 
    0.2218322,     0.8280702, ,     0.1227628,      1.410292, ,     0.1200329,      1.485191, , 
    0.2239229,      0.834527, ,     0.1303685,      1.392875, ,     0.1270169,      1.469583, , 
    0.2259123,     0.8408231, ,     0.1384396,      1.373872, ,     0.1343501,      1.452787, , 
    0.2278947,     0.8468627, ,     0.1470008,      1.353137, ,     0.1420522,      1.434537, , 
    0.2365766,     0.8295794, ,     0.1560966,      1.330507, ,     0.1500856,      1.415164, , 
    0.2390546,      0.834084, ,     0.1657315,       1.30576, ,     0.1583712,      1.395186, , 
    0.2415169,     0.8386713, ,     0.1760547,      1.278992, ,     0.1667425,      1.375243, , 
    0.2439487,     0.8433818, ,      0.187295,      1.249732, ,     0.1751502,      1.355459, , 
, , ,     0.2144127,      1.178347, ,     0.1839279,      1.334825, , 
, , ,     0.2884943,     0.9826905, ,     0.1919354,      1.318131, , 
, , ,     0.2917311,     0.9886044, ,     0.2000333,      1.301714, , 
, , ,     0.2947121,     0.9948579, ,     0.2081874,      1.285478, , 
, , , , , ,     0.2158172,      1.271827, , 

