Scan #,Time,Uniaxial Gage C2A-13-250LW-120 on S1-Ch1 microstrain,Uniaxial Gage C2A-13-250LW-120 on S1-Ch2 microstrain
995,0.00:00:09.95,33.00,-8.00
996,0.00:00:09.96,33.00,-8.00
997,0.00:00:09.97,33.00,-8.00
998,0.00:00:09.98,33.00,-8.00
999,0.00:00:09.99,33.00,-8.00
1000,0.00:00:10.00,33.00,-8.00
1001,0.00:00:10.01,33.00,-8.00
1002,0.00:00:10.02,33.00,-8.00
1003,0.00:00:10.03,33.00,-8.00
1004,0.00:00:10.04,33.00,-8.00
1005,0.00:00:10.05,33.00,-8.00
1006,0.00:00:10.06,33.00,-8.00
1007,0.00:00:10.07,33.00,-7.00
1008,0.00:00:10.08,33.00,-8.00
1009,0.00:00:10.09,33.00,-8.00
1010,0.00:00:10.10,33.00,-8.00
1011,0.00:00:10.11,33.00,-7.00
1012,0.00:00:10.12,33.00,-8.00
1013,0.00:00:10.13,33.00,-8.00
1014,0.00:00:10.14,33.00,-7.00
1015,0.00:00:10.15,33.00,-7.00
1016,0.00:00:10.16,33.00,-7.00
1017,0.00:00:10.17,33.00,-7.00
1018,0.00:00:10.18,32.00,-7.00
1019,0.00:00:10.19,33.00,-7.00
1020,0.00:00:10.20,33.00,-7.00
1021,0.00:00:10.21,33.00,-7.00
1022,0.00:00:10.22,33.00,-7.00
1023,0.00:00:10.23,33.00,-7.00
1024,0.00:00:10.24,32.00,-7.00
1025,0.00:00:10.25,33.00,-7.00
1026,0.00:00:10.26,32.00,-7.00
1027,0.00:00:10.27,33.00,-8.00
1028,0.00:00:10.28,33.00,-8.00
1029,0.00:00:10.29,33.00,-7.00
1030,0.00:00:10.30,33.00,-7.00
1031,0.00:00:10.31,33.00,-7.00
1032,0.00:00:10.32,33.00,-8.00
1033,0.00:00:10.33,33.00,-8.00
1034,0.00:00:10.34,33.00,-7.00
1035,0.00:00:10.35,33.00,-7.00
1036,0.00:00:10.36,33.00,-7.00
1037,0.00:00:10.37,33.00,-8.00
1038,0.00:00:10.38,33.00,-7.00
1039,0.00:00:10.39,33.00,-7.00
1040,0.00:00:10.40,33.00,-8.00
1041,0.00:00:10.41,33.00,-7.00
1042,0.00:00:10.42,33.00,-8.00
1043,0.00:00:10.43,33.00,-7.00
1044,0.00:00:10.44,33.00,-8.00
1045,0.00:00:10.45,33.00,-8.00
1046,0.00:00:10.46,33.00,-7.00
1047,0.00:00:10.47,33.00,-8.00
1048,0.00:00:10.48,33.00,-8.00
1049,0.00:00:10.49,33.00,-8.00
1050,0.00:00:10.50,33.00,-8.00
1051,0.00:00:10.51,33.00,-8.00
1052,0.00:00:10.52,33.00,-8.00
1053,0.00:00:10.53,33.00,-8.00
1054,0.00:00:10.54,33.00,-8.00
1055,0.00:00:10.55,33.00,-8.00
1056,0.00:00:10.56,34.00,-8.00
1057,0.00:00:10.57,34.00,-8.00
1058,0.00:00:10.58,34.00,-8.00
1059,0.00:00:10.59,34.00,-8.00
1060,0.00:00:10.60,34.00,-8.00
1061,0.00:00:10.61,34.00,-7.00
1062,0.00:00:10.62,34.00,-8.00
1063,0.00:00:10.63,34.00,-8.00
1064,0.00:00:10.64,34.00,-8.00
1065,0.00:00:10.65,34.00,-8.00
1066,0.00:00:10.66,34.00,-8.00
1067,0.00:00:10.67,34.00,-8.00
1068,0.00:00:10.68,34.00,-8.00
1069,0.00:00:10.69,34.00,-7.00
1070,0.00:00:10.70,34.00,-8.00
1071,0.00:00:10.71,33.00,-8.00
1072,0.00:00:10.72,34.00,-7.00
1073,0.00:00:10.73,34.00,-7.00
1074,0.00:00:10.74,34.00,-8.00
1075,0.00:00:10.75,34.00,-8.00
1076,0.00:00:10.76,33.00,-8.00
1077,0.00:00:10.77,34.00,-8.00
1078,0.00:00:10.78,33.00,-8.00
1079,0.00:00:10.79,34.00,-8.00
1080,0.00:00:10.80,34.00,-8.00
1081,0.00:00:10.81,34.00,-7.00
1082,0.00:00:10.82,34.00,-7.00
1083,0.00:00:10.83,34.00,-8.00
1084,0.00:00:10.84,34.00,-8.00
1085,0.00:00:10.85,34.00,-8.00
1086,0.00:00:10.86,34.00,-8.00
1087,0.00:00:10.87,34.00,-8.00
1088,0.00:00:10.88,34.00,-8.00
1089,0.00:00:10.89,34.00,-8.00
1090,0.00:00:10.90,34.00,-8.00
1091,0.00:00:10.91,34.00,-8.00
1092,0.00:00:10.92,34.00,-8.00
1093,0.00:00:10.93,34.00,-8.00
1094,0.00:00:10.94,34.00,-8.00
1095,0.00:00:10.95,34.00,-8.00
1096,0.00:00:10.96,35.00,-8.00
1097,0.00:00:10.97,35.00,-8.00
1098,0.00:00:10.98,35.00,-8.00
1099,0.00:00:10.99,35.00,-8.00
1100,0.00:00:11.00,35.00,-8.00
1101,0.00:00:11.01,35.00,-8.00
1102,0.00:00:11.02,35.00,-8.00
1103,0.00:00:11.03,36.00,-8.00
1104,0.00:00:11.04,35.00,-8.00
1105,0.00:00:11.05,36.00,-8.00
1106,0.00:00:11.06,36.00,-8.00
1107,0.00:00:11.07,36.00,-8.00
1108,0.00:00:11.08,36.00,-8.00
1109,0.00:00:11.09,36.00,-8.00
1110,0.00:00:11.10,36.00,-8.00
1111,0.00:00:11.11,36.00,-8.00
1112,0.00:00:11.12,36.00,-8.00
1113,0.00:00:11.13,36.00,-8.00
1114,0.00:00:11.14,36.00,-8.00
1115,0.00:00:11.15,36.00,-8.00
1116,0.00:00:11.16,36.00,-8.00
1117,0.00:00:11.17,36.00,-8.00
1118,0.00:00:11.18,36.00,-8.00
1119,0.00:00:11.19,35.00,-8.00
1120,0.00:00:11.20,35.00,-8.00
1121,0.00:00:11.21,36.00,-8.00
1122,0.00:00:11.22,36.00,-8.00
1123,0.00:00:11.23,35.00,-8.00
1124,0.00:00:11.24,35.00,-8.00
1125,0.00:00:11.25,35.00,-8.00
1126,0.00:00:11.26,35.00,-8.00
1127,0.00:00:11.27,35.00,-8.00
1128,0.00:00:11.28,35.00,-8.00
1129,0.00:00:11.29,35.00,-8.00
1130,0.00:00:11.30,35.00,-8.00
1131,0.00:00:11.31,35.00,-8.00
1132,0.00:00:11.32,35.00,-8.00
1133,0.00:00:11.33,35.00,-8.00
1134,0.00:00:11.34,34.00,-8.00
1135,0.00:00:11.35,35.00,-8.00
1136,0.00:00:11.36,35.00,-8.00
1137,0.00:00:11.37,35.00,-8.00
1138,0.00:00:11.38,35.00,-8.00
1139,0.00:00:11.39,35.00,-8.00
1140,0.00:00:11.40,35.00,-8.00
1141,0.00:00:11.41,35.00,-8.00
1142,0.00:00:11.42,35.00,-8.00
1143,0.00:00:11.43,35.00,-8.00
1144,0.00:00:11.44,35.00,-8.00
1145,0.00:00:11.45,35.00,-8.00
1146,0.00:00:11.46,35.00,-8.00
1147,0.00:00:11.47,35.00,-8.00
1148,0.00:00:11.48,35.00,-8.00
1149,0.00:00:11.49,35.00,-8.00
1150,0.00:00:11.50,35.00,-8.00
1151,0.00:00:11.51,35.00,-8.00
1152,0.00:00:11.52,35.00,-8.00
1153,0.00:00:11.53,35.00,-8.00
1154,0.00:00:11.54,34.00,-8.00
1155,0.00:00:11.55,35.00,-8.00
1156,0.00:00:11.56,35.00,-8.00
1157,0.00:00:11.57,35.00,-8.00
1158,0.00:00:11.58,35.00,-8.00
1159,0.00:00:11.59,35.00,-8.00
1160,0.00:00:11.60,35.00,-8.00
1161,0.00:00:11.61,35.00,-8.00
1162,0.00:00:11.62,35.00,-8.00
1163,0.00:00:11.63,34.00,-8.00
1164,0.00:00:11.64,35.00,-8.00
1165,0.00:00:11.65,35.00,-8.00
1166,0.00:00:11.66,35.00,-8.00
1167,0.00:00:11.67,34.00,-8.00
1168,0.00:00:11.68,34.00,-8.00
1169,0.00:00:11.69,34.00,-8.00
1170,0.00:00:11.70,34.00,-8.00
1171,0.00:00:11.71,34.00,-8.00
1172,0.00:00:11.72,34.00,-8.00
1173,0.00:00:11.73,34.00,-8.00
1174,0.00:00:11.74,34.00,-8.00
1175,0.00:00:11.75,34.00,-8.00
1176,0.00:00:11.76,34.00,-8.00
1177,0.00:00:11.77,34.00,-8.00
1178,0.00:00:11.78,34.00,-8.00
1179,0.00:00:11.79,34.00,-8.00
1180,0.00:00:11.80,34.00,-8.00
1181,0.00:00:11.81,34.00,-8.00
1182,0.00:00:11.82,34.00,-8.00
1183,0.00:00:11.83,34.00,-8.00
1184,0.00:00:11.84,34.00,-8.00
1185,0.00:00:11.85,33.00,-8.00
1186,0.00:00:11.86,33.00,-8.00
1187,0.00:00:11.87,33.00,-8.00
1188,0.00:00:11.88,33.00,-8.00
1189,0.00:00:11.89,33.00,-8.00
1190,0.00:00:11.90,33.00,-8.00
1191,0.00:00:11.91,33.00,-8.00
1192,0.00:00:11.92,33.00,-8.00
1193,0.00:00:11.93,33.00,-8.00
1194,0.00:00:11.94,33.00,-8.00
1195,0.00:00:11.95,33.00,-8.00
1196,0.00:00:11.96,33.00,-8.00
1197,0.00:00:11.97,33.00,-8.00
1198,0.00:00:11.98,33.00,-8.00
1199,0.00:00:11.99,33.00,-8.00
1200,0.00:00:12.00,33.00,-8.00
1201,0.00:00:12.01,33.00,-7.00
1202,0.00:00:12.02,33.00,-8.00
1203,0.00:00:12.03,33.00,-8.00
1204,0.00:00:12.04,33.00,-8.00
1205,0.00:00:12.05,33.00,-8.00
1206,0.00:00:12.06,33.00,-8.00
1207,0.00:00:12.07,33.00,-8.00
1208,0.00:00:12.08,33.00,-8.00
1209,0.00:00:12.09,33.00,-8.00
1210,0.00:00:12.10,33.00,-8.00
1211,0.00:00:12.11,33.00,-8.00
1212,0.00:00:12.12,33.00,-8.00
1213,0.00:00:12.13,34.00,-8.00
1214,0.00:00:12.14,33.00,-8.00
1215,0.00:00:12.15,33.00,-8.00
1216,0.00:00:12.16,33.00,-8.00
1217,0.00:00:12.17,34.00,-8.00
1218,0.00:00:12.18,33.00,-8.00
1219,0.00:00:12.19,33.00,-8.00
1220,0.00:00:12.20,34.00,-8.00
1221,0.00:00:12.21,34.00,-8.00
1222,0.00:00:12.22,34.00,-8.00
1223,0.00:00:12.23,33.00,-8.00
1224,0.00:00:12.24,34.00,-8.00
1225,0.00:00:12.25,34.00,-8.00
